Unnamed: 0,scrape_id,host_id,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,distance_to_city_center,sentiment_score,average_review_length,host_profile_pic_people_visible,host_profile_pic_male_or_female,host_profile_pic_setting_indoor_outdoor,host_profile_pic_professionality,host_profile_pic_quality,picture_url_setting_indoor_outdoor
5775,20240918135550,449692327.0,58.0,59.0,52.49888950896425,13.385574061701297,4.0,1.0,2.0,2.0,92.0,330.0,92.0,92.0,330.0,330.0,92.0,330.0,,1.0,1.0,1.0,196.0,0.0,0.0,0.0,,,,,,,,58.0,58.0,0.0,0.0,,0.0176789446476333,0.0,,0.48046875,0.97412109375,0.9580078125,0.0390625,0.7958984375,0.994140625
5776,20240918135550,434485440.0,310.0,311.0,52.551494,13.4145912,2.0,1.0,1.0,1.0,90.0,1125.0,92.0,365.0,1125.0,1125.0,96.8,1125.0,,0.0,0.0,0.0,30.0,0.0,0.0,0.0,,,,,,,,302.0,302.0,0.0,0.0,,0.0445470379380267,0.0,,0.48046875,0.97412109375,0.9580078125,0.0390625,0.7958984375,0.95654296875
5777,20240918135550,215178674.0,8.0,8.0,52.4937768,13.3613533,3.0,1.0,1.0,3.0,1.0,1125.0,1.0,3.0,1125.0,1125.0,1.4,1125.0,,28.0,58.0,88.0,190.0,47.0,33.0,1.0,4.83,4.85,4.77,4.89,4.85,4.68,4.6,8.0,0.0,1.0,0.0,2.98,0.041456913000341,0.0168682539682539,17.80851063829787,0.93701171875,0.99169921875,0.39990234375,0.12249755859375,0.92529296875,0.04083251953125
5778,20240918135550,511072350.0,4.0,4.0,52.4525222,13.5278652,2.0,1.0,0.0,1.0,1.0,28.0,1.0,1.0,13.0,1125.0,1.0,531.9,,29.0,59.0,89.0,324.0,96.0,52.0,3.0,4.71,4.78,4.7,4.65,4.58,4.57,4.43,4.0,4.0,0.0,0.0,5.9,0.1402525491540177,0.0173552426065804,25.86458333333333,0.93701171875,0.99169921875,0.39990234375,0.12249755859375,0.92529296875,0.96435546875
5779,20240918135550,511072350.0,4.0,4.0,52.4525222,13.5278652,4.0,1.0,1.0,2.0,1.0,28.0,1.0,1.0,13.0,1125.0,1.0,531.9,,24.0,54.0,84.0,319.0,205.0,134.0,0.0,4.75,4.79,4.76,4.79,4.6,4.37,4.55,4.0,4.0,0.0,0.0,12.63,0.1402525491540177,0.0142483273841488,24.23414634146341,0.2393798828125,0.97998046875,0.0313720703125,0.310791015625,0.984375,0.9970703125
5780,20240918135550,511072350.0,4.0,4.0,52.4525222,13.5278652,4.0,1.0,1.0,2.0,1.0,28.0,1.0,1.0,13.0,1125.0,1.0,531.9,,27.0,57.0,87.0,322.0,13.0,7.0,0.0,4.69,5.0,4.69,4.85,4.62,4.62,4.54,4.0,4.0,0.0,0.0,0.8,0.1402525491540177,0.0152088397790055,19.307692307692307,0.93701171875,0.99169921875,0.39990234375,0.12249755859375,0.92529296875,0.0108184814453125
5781,20240918135550,449692327.0,58.0,59.0,52.548390868406095,13.41720085776548,3.0,1.0,1.0,2.0,92.0,330.0,92.0,92.0,330.0,330.0,92.0,330.0,,0.0,0.0,3.0,244.0,0.0,0.0,0.0,,,,,,,,58.0,58.0,0.0,0.0,,0.0426374986818288,0.0,,0.93701171875,0.99169921875,0.39990234375,0.12249755859375,0.92529296875,0.9619140625
5782,20240918135550,449692327.0,58.0,59.0,52.501269896694176,13.359095722556242,2.0,1.0,1.0,1.0,92.0,330.0,92.0,92.0,330.0,330.0,92.0,330.0,,0.0,0.0,0.0,208.0,0.0,0.0,0.0,,,,,,,,58.0,58.0,0.0,0.0,,0.0414413833448123,0.0,,0.93701171875,0.99169921875,0.39990234375,0.12249755859375,0.92529296875,0.99560546875
5783,20240918135550,490722788.0,3.0,3.0,52.46116139999999,13.5238518,6.0,2.0,3.0,6.0,3.0,365.0,3.0,3.0,365.0,365.0,3.0,365.0,,9.0,38.0,68.0,83.0,3.0,0.0,0.0,4.67,5.0,5.0,5.0,4.67,5.0,4.33,3.0,3.0,0.0,0.0,0.19,0.1332226009027298,0.0206666666666666,6.0,0.93701171875,0.99169921875,0.39990234375,0.12249755859375,0.92529296875,0.99951171875
5784,20240918135550,449692327.0,58.0,59.0,52.54609381528874,13.418355870298528,4.0,1.0,2.0,3.0,92.0,335.0,92.0,92.0,335.0,335.0,92.0,335.0,,0.0,0.0,16.0,291.0,0.0,0.0,0.0,,,,,,,,58.0,58.0,0.0,0.0,,0.0410649278262503,0.0,,0.23095703125,0.98486328125,0.0015010833740234,0.154052734375,0.94873046875,0.9970703125
