y_test,y_pred
60.0,64.70408
110.0,123.28176
99.0,102.969696
100.0,136.153
174.0,164.61423
120.0,280.2423
85.0,95.97552
90.0,110.055244
92.0,89.110405
110.0,114.31193
27.0,31.229551
175.0,139.42107
40.0,78.53673
55.0,75.28185
136.0,160.60107
20.0,7.569458
42.0,91.37853
63.0,60.605858
230.0,153.75768
96.0,98.54005
110.0,135.35251
43.0,75.32436
157.0,179.70316
180.0,235.47395
85.0,147.66907
82.0,85.154465
79.0,82.90381
85.0,84.674164
75.0,111.67353
58.0,38.499348
106.0,174.15689
179.0,234.8141
79.0,95.202065
159.0,152.7459
137.0,145.67789
35.0,71.375824
80.0,57.56933
470.0,391.96887
110.0,102.027016
612.0,452.82217
110.0,141.50224
115.0,92.48998
125.0,70.408035
153.0,123.86471
105.0,156.94177
250.0,216.96407
105.0,94.61777
210.0,307.40463
175.0,147.3658
42.0,74.17773
172.0,149.50803
26.0,29.654318
115.0,135.19635
167.0,173.0214
80.0,103.45412
35.0,11.466579
60.0,90.973206
158.0,161.00575
60.0,79.95948
46.0,131.47452
258.0,270.50894
75.0,79.94636
211.0,210.87335
189.0,89.53685
567.0,346.34802
35.0,59.118614
75.0,67.214386
26.0,46.30831
164.0,116.25256
45.0,77.397835
37.0,70.9353
37.0,36.54323
106.0,87.1643
26.0,27.279247
59.0,75.9663
57.0,64.20866
276.0,157.76747
30.0,76.05875
60.0,160.09752
95.0,103.891754
59.0,56.483826
40.0,27.763357
336.0,286.23654
160.0,239.16211
175.0,157.4688
109.0,162.41074
310.0,343.27655
89.0,115.13432
180.0,172.33165
250.0,223.17332
139.0,95.85822
68.0,136.69214
53.0,58.500072
120.0,106.69475
50.0,54.350765
38.0,13.874259
79.0,70.44632
256.0,258.6246
85.0,73.443184
38.0,31.779669
165.0,110.40793
73.0,73.74481
75.0,81.29952
84.0,87.99802
250.0,174.14804
90.0,98.35406
130.0,128.64426
195.0,216.75743
40.0,18.042519
30.0,98.034164
37.0,53.811913
60.0,161.39777
37.0,35.595234
115.0,117.452354
130.0,160.91832
84.0,118.29447
61.0,142.40823
420.0,390.2551
335.0,341.999
104.0,89.67421
42.0,101.64399
51.0,64.78638
144.0,164.33093
164.0,287.2968
191.0,192.35461
85.0,78.584145
140.0,170.34348
84.0,83.322
56.0,102.155556
85.0,106.41089
142.0,171.98549
100.0,94.58662
250.0,157.10527
72.0,85.9764
188.0,184.76196
62.0,72.46416
129.0,111.30517
276.0,219.02296
40.0,52.193142
108.0,101.02894
150.0,184.10408
155.0,142.52666
127.0,177.42963
59.0,46.082462
218.0,137.07153
296.0,343.61203
77.0,79.24879
46.0,14.673955
183.0,159.23979
80.0,97.28661
44.0,31.691734
137.0,138.75247
87.0,104.390884
120.0,156.62836
166.0,120.99599
95.0,251.31291
106.0,173.94353
91.0,93.24903
70.0,81.19054
60.0,83.60106
39.0,54.11723
125.0,79.75995
66.0,79.89946
193.0,143.82704
111.0,140.82367
50.0,72.33145
123.0,145.77051
46.0,71.98056
60.0,65.59119
45.0,38.1762
209.0,232.04344
70.0,56.072502
163.0,150.92336
163.0,135.85068
174.0,158.80208
170.0,254.05223
43.0,68.421036
43.0,76.535934
97.0,78.73855
90.0,59.22408
70.0,91.056145
89.0,80.0578
180.0,219.00662
195.0,192.06107
163.0,177.52974
83.0,123.09983
150.0,129.4112
211.0,197.24794
207.0,90.87263
81.0,96.140465
100.0,107.20617
206.0,143.32578
50.0,49.89676
500.0,459.79184
245.0,209.33316
126.0,114.18446
100.0,42.763504
282.0,237.74646
93.0,145.17607
87.0,163.78519
60.0,83.97428
143.0,113.82645
27.0,41.125797
99.0,131.84448
54.0,24.021542
156.0,202.26733
160.0,139.25078
80.0,124.6771
105.0,97.444374
75.0,115.475494
49.0,75.536415
382.0,422.68317
366.0,396.5502
88.0,90.17134
174.0,228.15326
45.0,50.055733
120.0,113.07623
72.0,45.71801
66.0,84.01123
300.0,131.80371
267.0,201.95203
85.0,141.89957
140.0,176.29976
100.0,118.23657
121.0,126.26337
204.0,119.27651
136.0,141.33423
317.0,258.4615
50.0,31.232
79.0,120.61096
200.0,233.78342
70.0,119.592606
150.0,131.5376
40.0,120.54217
149.0,143.01685
78.0,151.53264
212.0,152.15077
33.0,54.00384
59.0,74.40513
72.0,99.48046
211.0,154.65573
100.0,109.89594
76.0,196.80167
69.0,112.05825
80.0,86.52184
600.0,464.7082
255.0,155.97621
20.0,37.547783
138.0,153.24908
835.0,441.4233
60.0,59.346947
663.0,439.7666
60.0,72.68456
51.0,74.479774
380.0,298.60165
420.0,162.20177
80.0,115.04816
129.0,266.51187
38.0,58.268032
117.0,86.39186
35.0,116.17279
86.0,100.83534
110.0,231.33884
50.0,36.575848
200.0,128.17027
297.0,265.655
310.0,335.83646
310.0,307.97263
57.0,52.575092
126.0,169.07921
160.0,162.78946
114.0,104.57698
435.0,265.51285
40.0,34.53093
57.0,104.14068
35.0,30.491055
210.0,276.22577
147.0,144.86534
261.0,207.97096
30.0,61.42063
229.0,282.93604
225.0,177.4127
122.0,120.46092
103.0,94.47049
170.0,120.57418
75.0,97.03049
98.0,131.15659
49.0,61.45572
200.0,67.77832
169.0,149.23549
176.0,157.48279
153.0,123.20382
257.0,273.39548
99.0,86.56973
248.0,285.6615
133.0,195.15092
228.0,218.50311
237.0,305.20627
100.0,170.07445
282.0,249.38126
262.0,223.87943
140.0,205.3657
268.0,286.46582
73.0,136.86403
79.0,110.83968
352.0,292.4476
74.0,75.9654
97.0,115.76325
185.0,118.3039
143.0,117.93566
363.0,375.41742
60.0,77.76251
747.0,651.03955
89.0,127.77119
58.0,104.14342
335.0,461.33203
342.0,478.45197
40.0,29.31311
50.0,110.93075
70.0,71.85723
